time,expectation,termscount
0.01,0.009897683644923825,88.0
0.02,0.019455787981843366,88.0
0.03,0.02853356479110348,3574.0
0.04,0.03737827060881677,3574.0
0.05,0.046024860371020104,3574.0
0.06,0.054449786533510194,3574.0
0.07,0.0626233016815993,3574.0
0.08,0.07051141560741596,3574.0
0.09,0.07807837166570449,3574.0
0.1,0.08528930010066248,3574.0
0.11,0.09211272342932886,3574.0
0.12,0.09852264879980462,3574.0
0.13,0.10450007080631993,3574.0
0.14,0.11003380758106301,3574.0
0.15,0.11512068539158885,3574.0
0.16,0.11976515901103084,3574.0
0.17,0.12397849985994706,3574.0
0.18,0.127777701005074,3574.0
0.19,0.13118424220803815,3574.0
0.2,0.13422283664968207,3574.0
