time,expectation
0.01,-9.998333504430477e-5
0.02,-0.00039825733615194
0.03,-0.0008896309523661979
0.04,-0.0015654729324111672
0.05,-0.00243347177376272
0.06,-0.003494410255788888
0.07,-0.004744090055796967
0.08,-0.0061770573968731686
0.09,-0.007786391861632506
0.1,-0.009563513626051366
0.11,-0.011498029452398728
0.12,-0.013577637155562037
0.13,-0.015788105915880108
0.14,-0.01812062665302665
0.15,-0.020573145467888295
0.16,-0.023142019282377288
0.17,-0.02582208029937524
0.18,-0.02860667738927309
0.19,-0.03148770097440733
0.2,-0.03445560814396163
