time,expectation
0.01,-9.998333504430477e-5
0.02,-0.00039825733615194
0.03,-0.0008948770986520057
0.04,-0.0015891167964209487
0.05,-0.002478883384555668
0.06,-0.003561184118925333
0.07,-0.004831922363361015
0.08,-0.006285678931441889
0.09,-0.00791750198189614
0.1,-0.009723714960294947
0.11,-0.011699955801012591
0.12,-0.013841118521368294
0.13,-0.016141277083181933
0.14,-0.01859359319156935
0.15,-0.021190214814429943
0.16,-0.02392217479299225
0.17,-0.02677977914416723
0.18,-0.029753879458820437
0.19,-0.032835919979550564
0.2,-0.036017658051590844
