time,expectation
0.01,-9.998333504430477e-5
0.02,-0.00039825733615194
0.03,-0.0008896309523661979
0.04,-0.0015654729324111672
0.05,-0.002413909515619809
0.06,-0.0034201097969628795
0.07,-0.004566661788529194
0.08,-0.005834037402627091
0.09,-0.0072150991034545175
0.1,-0.008776286620881795
0.11,-0.010508440831022056
0.12,-0.01239892420147223
0.13,-0.014433836711058152
0.14,-0.016597946811885707
0.15,-0.01887469100216787
0.16,-0.021246255456419984
0.17,-0.023693745728304814
0.18,-0.026197442346636193
0.19,-0.028737131931915856
0.2,-0.031292496130352246
