time,expectation
0.01,-9.998333504430477e-5
0.02,-0.00039968876161452284
0.03,-0.0008983335232609512
0.04,-0.0015944453750199965
0.05,-0.002485622572763862
0.06,-0.0035682654877112166
0.07,-0.004837287216263658
0.08,-0.0062858070666412785
0.09,-0.00790492980165645
0.1,-0.009683622537312624
0.11,-0.011608713188773837
0.12,-0.013665021076009571
0.13,-0.015835616172972335
0.14,-0.018102189061795355
0.15,-0.02044550313839219
0.16,-0.0228458941867343
0.17,-0.02528378001796704
0.18,-0.027740145128775977
0.19,-0.030196971165035693
0.2,-0.03263759209915829
